"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1458",NA,NA,"KRCC1",NA,"ICA1","LMF2","SERPINB6",NA,"FANCD2","MRPL13",NA,"LTBR","SMARCD2",NA,"CGREF1",NA,"HNRNPL",NA,"CDC37","IGSF1",NA,"TNNI2",NA,"UHRF2","EID1","ARHGAP24","FADD","MIS18BP1",NA,NA,"STX4",NA,"BAG2","MAGEE1",NA,NA,NA,"PRICKLE2","MT1G","TBCK"
"1459",NA,NA,"SH2B3",NA,"JSRP1","SLC1A1","RIN2",NA,"NUAK2","NR2F1",NA,"MT1F","TMEM167B",NA,"CYGB",NA,"RSAD1",NA,"CMTM7","PARP1",NA,"UBE2M",NA,"CABLES2","GADD45B","FOSB","RPF1","MBD6",NA,NA,"TSPYL2",NA,"ILKAP","SCG5",NA,NA,NA,"TUBB2A","SLC6A17","C1ORF127"
"1460",NA,NA,"TRMT112",NA,"NRARP","CAPZA2","SLC16A9",NA,"PET117","UAP1",NA,"FEZ1","TTBK1",NA,"MYL6B",NA,"TOMM34",NA,"LYRM2","TRIB3",NA,"DSC2",NA,"GPT","SEPT11","HIPK4","TMEM97","NFKBIA",NA,NA,"ABCB10",NA,"ACOT7","TMEM30A",NA,NA,NA,"UBE2E1","ZNF217","CBX7"
"1461",NA,NA,"TTC19",NA,"PISD","GABRR2","STK19",NA,"RIMS2","CD300LB",NA,"FGD5-AS1","WRN",NA,"PTN",NA,"AHR",NA,"NHLRC2","FEN1",NA,"NPB",NA,"PLXNC1","SPHK1","LINC00324","UTP20","TADA1",NA,NA,"DICER1",NA,"NDUFS5","FNBP1L",NA,NA,NA,"CAMK2N1","DBI","CPNE7"
"1462",NA,NA,"C17ORF82",NA,"RCBTB1","GALNT10","EIF3L",NA,"BCOR","ARL6IP5",NA,"RASSF4","C9ORF64",NA,"SKP1",NA,"CD55",NA,"PLAUR","MB21D2",NA,"NUDT7",NA,"TCEAL8","DAB2","LMBRD1","DCDC2B","CAPNS1",NA,NA,"EEF1E1",NA,"SLC22A14","IL17C",NA,NA,NA,"ELOVL5","LMF2","MET"
"1463",NA,NA,"RBX1",NA,"SUV39H1","GPRASP1","LAT",NA,"BLOC1S2","NCOA6",NA,"RNASE1","ZNF469",NA,"CMAHP",NA,"ELF4",NA,"SPI1","NR3C1",NA,"PLBD2",NA,"TP53RK","MED29","TPD52L2","ELOVL4","DGAT1",NA,NA,"KLF2",NA,"DCTN3","RAP1GDS1",NA,NA,NA,"KPNA4","PLEKHM2","RUNX3"
"1464",NA,NA,"TOMM20",NA,"DUOXA2","IDH1","PRPF19",NA,"CDK4","RNPEP",NA,"ZNF460","FBXO8",NA,"DACT1",NA,"PF4",NA,"MAPK3","SACM1L",NA,"GDF2",NA,"COX7B","PPARG","TUBB6","IDH1","PGLS",NA,NA,"PI16",NA,"HNRNPA3","C2ORF81",NA,NA,NA,"NPR1","RNF4","TP53I3"
"1465",NA,NA,"TRMT1",NA,"MRPS21","MYL3","RALGAPA1",NA,"U2SURP","SMPD1",NA,"ZNHIT1","WDR54",NA,"HIST1H2BG",NA,"SEPHS2",NA,"MED28","SNAPC3",NA,"PPP1R32",NA,"CSRNP1","TMEM92","KARS","POLQ","STX3",NA,NA,"ZNF292",NA,"KHNYN","CHCHD1",NA,NA,NA,"RASL11A","TTC39B","BAIAP3"
"1466",NA,NA,"ZBP1",NA,"SERPINB1","TOM1L1","SNRPA",NA,"LRRC8B","SPATA16",NA,"CDCA8","ARRDC2",NA,"PPP5C",NA,"SFXN2",NA,"PDCD4","ATAD3B",NA,"RMI1",NA,"ING2","UBTD1","SUCLG2","PPA2","TTC32",NA,NA,"CARTPT",NA,"MAGEH1","EHD3",NA,NA,NA,"SAPCD2","BAIAP3","FOLR2"
"1467",NA,NA,"MYL6B",NA,"SLC25A38","ABCC1","ACYP2",NA,"MAP3K5","CARD10",NA,"DAB2","C2ORF88",NA,"SLC39A10",NA,"TMED2",NA,"SCML4","DKK3",NA,"UNC93B1",NA,"LINC00116","C14ORF37","UBE2D1","RNF20","YWHAH",NA,NA,"DONSON",NA,"REPS1","FBXO3",NA,NA,NA,"TRIM28","UXT","JAZF1"
"1468",NA,NA,"SLC16A6",NA,"ERN2","NDUFV3","BEND3",NA,"SRP14","PI16",NA,"ENAH","CYP4A22",NA,"TSEN34",NA,"BIN1",NA,"GNG5","CASP3",NA,"AKR1A1",NA,"PAPSS1","CNOT7","BCL10","CD46","CHCHD5",NA,NA,"ESRRG",NA,"TSPAN17","MFSD1",NA,NA,NA,"CCDC53","VPS25","EIF3K"
"1469",NA,NA,"TACC3",NA,"NCL","C6ORF15","CRY1",NA,"TCF12","APLP2",NA,"FBXW7","PIGL",NA,"MACF1",NA,"CARD9",NA,"H1F0","FKBP10",NA,"C8ORF82",NA,"SAPCD2","CREB5","DENND3","COMMD8","G6PC3",NA,NA,"HERC5",NA,"TUBE1","MYBPC3",NA,NA,NA,"EME1","FUBP1","GLRX2"
"1470",NA,NA,"TMC6",NA,"PPP1R1B","MAPK6","CTNNBIP1",NA,"TDP2","C20ORF141",NA,"NFIC","PSMD8",NA,"NAV1",NA,"FAS",NA,"HIST1H3B","POLK",NA,"DNAJC5",NA,"DFFB","RAB15","GADD45B","DGKZ","HVCN1",NA,NA,"NAE1",NA,"ZBTB8A","PTOV1",NA,NA,NA,"ERAP2","MGST3","SLC29A3"
"1471",NA,NA,"USH1G",NA,"S100A16","PHGDH","DBI",NA,"ZBTB10","STAT6",NA,"ADAM10","SEC24B",NA,"OAF",NA,"NDUFA1",NA,"KCNN4","TMED2",NA,"LLPH",NA,"EPHX2","CDK18","HSD17B8","RAC1","KLF13",NA,NA,"PTGFRN",NA,"CLSTN1","PIEZO2",NA,NA,NA,"LAMB3","RAP2A","TUT1"
"1472",NA,NA,"ATP6V0E2",NA,"ASB12","B3GNT9","DCXR",NA,"MBTD1","B3GALT6",NA,"AKT1","SLC38A2",NA,"ABLIM3",NA,"PKD2L1",NA,"POMP","RBM47",NA,"ECHS1",NA,"MRPS28","DAG1","NR1D2","SHROOM3","PRKAR2B",NA,NA,"TDP2",NA,"GORAB","TIGD7",NA,NA,NA,"OGDH","TNFRSF25","APOC1"
"1473",NA,NA,"DMXL1",NA,"GATAD2A","ELOVL5","GADD45GIP1",NA,"MZT2B","CHST14",NA,"ASRGL1","SLC39A8",NA,"MARVELD1",NA,"PSPH",NA,"TAF9B","SCD",NA,"TCEAL8",NA,"OFD1","DDIT4","PQBP1","TRAM1L1","TALDO1",NA,NA,"ZNF334",NA,"MICA","ZNF213",NA,NA,NA,"BTBD11","CCM2","C14ORF142"
"1474",NA,NA,"HMOX1",NA,"MAP3K4","FAR1","HCP5",NA,"SMPDL3B","GALE",NA,"C10ORF10","SNX9",NA,"SYDE1",NA,"DPP3",NA,"ZSWIM7","BTAF1",NA,"CCDC60",NA,"OSBPL1A","HIGD2A","WDFY3","VEPH1","DCXR",NA,NA,"ARPC5",NA,"UTRN","ASNSD1",NA,NA,NA,"CDIPT","FNBP4","CSF3"
"1475",NA,NA,"RECQL",NA,"RPN1","NANOS1","LY86",NA,"CTHRC1","ICAM1",NA,"NDUFB4","ACO1",NA,"WDR54",NA,"DRAM1",NA,"CCDC90B","FAM109B",NA,"GCLC",NA,"PCK2","PXN","CNTRL","C20ORF141","GSTO1",NA,NA,"CDT1",NA,"APBB1IP","CRY1",NA,NA,NA,"COL18A1","PKIA","IL6ST"
"1476",NA,NA,"SEC24C",NA,"CPT1A","NID1","PSMD14",NA,"DCTPP1","MESP2",NA,"CEACAM6","ALG6",NA,"COL4A5",NA,"PCNA",NA,"MRPS9","RFWD3",NA,"MFNG",NA,"PLXDC2","WDR54","FGD4","CXXC5","IQCG",NA,NA,"MUC2",NA,"CRIPAK","CYBA",NA,NA,NA,"HNRNPA1","SEC24B","PRELP"
"1477",NA,NA,"SRSF2",NA,"EPM2AIP1","SPON2","RLN1",NA,"DNTTIP2","MSN",NA,"SIVA1","GSTO1",NA,"CPNE7",NA,"RHBDF2",NA,"RABAC1","CLSTN1",NA,"DDOST",NA,"PAXIP1","COL4A5","OXA1L","LPCAT2","RUNX3",NA,NA,"CLIC1",NA,"MAN2B2","PDGFD",NA,NA,NA,"PSMD8","TNKS2","TPX2"
"1478",NA,NA,"USP9Y",NA,"PPM1G","ASB16","ABCB10",NA,"AIMP2","ETS1",NA,"SNAP23","MRVI1-AS1",NA,"EBP",NA,"CHST11",NA,"SATB1","PSMB9",NA,"MTCH1",NA,"DDX10","NDUFA7","SLIRP","PDCD5","CCP110",NA,NA,"COX4I2",NA,"PRKD3","PHKB",NA,NA,NA,"SEL1L3","DYSF","CRTC3"
"1479",NA,NA,"FAM58A",NA,"SARS2","FANCL","ALG14",NA,"METTL7A","HSPB8",NA,"SPAG5","INE1",NA,"HOXD10",NA,"ERCC1",NA,"PRMT2","SPSB2",NA,"PRKCB",NA,"KPNA4","RNF126","SLPI","RAB11FIP5","KCNQ1",NA,NA,"JUP",NA,"RPS21","PLAG1",NA,NA,NA,"ZCCHC14","GYG1","DHRS7"
"1480",NA,NA,"SHMT2",NA,"SLC38A6","GSTP1","CBFB",NA,"PRKX","NDUFS5",NA,"DOCK1","MDM4",NA,"PRKY",NA,"FAM26F",NA,"ADCK3","ENPP5",NA,"SEPT11",NA,"MYLK2","SOX11","TSSK3","RELN","PREX1",NA,NA,"LMNA",NA,"TUBA4B","ABCC3",NA,NA,NA,"ZNF587","HSPA8","FAM107B"
"1481",NA,NA,"TMEM203",NA,"SPATA24","MAGEH1","COMMD8",NA,"SLC5A5","ANXA11",NA,"KANK2","RHOT2",NA,"SARS",NA,"HMBS",NA,"CBX5","HNRNPA3",NA,"SNRPB2",NA,"PGP","ZSCAN12P1","ARNTL","SCN9A","RNF11",NA,NA,"MCM3",NA,"C7ORF26","CPNE3",NA,NA,NA,"C15ORF61","NDUFB3","PLOD3"
"1482",NA,NA,"ATP5F1",NA,"TAF1L","PRSS53","CORO1B",NA,"TBCK","CD70",NA,"PRKCZ","TSTA3",NA,"XPNPEP2",NA,"MAN1A1",NA,"CENPN","LGALS8",NA,"ADPGK",NA,"TCEAL4","BUB1","CRIPAK","NFIC","TMCC3",NA,NA,"MRC2",NA,"H2AFY","DIP2C",NA,NA,NA,"CENPM","OSGEPL1","PLXND1"
"1483",NA,NA,"EVL",NA,"TPGS2","RPF2","DNM3",NA,"ZNF273","GDPD2",NA,"RNASEH2A","CCDC58",NA,"CIRBP",NA,"PRDX5",NA,"FMNL1","MBTD1",NA,"LAP3",NA,"ACAT2","INTS1","KLF6","SCD","TMEM30A",NA,NA,"PCYOX1",NA,"INPP4A","PLD3",NA,NA,NA,"ECSCR","PPM1M","SACS"
"1484",NA,NA,"FAM173A",NA,"CTNNA1","RPS24","DUT",NA,"ZNF362","STAT5A",NA,"DEF6","CNN3",NA,"DDX6",NA,"REEP5",NA,"GNL3","PAXIP1",NA,"MRPL12",NA,"ADAT2","SGCE","LHFPL2","SH3BP5","AGPAT2",NA,NA,"DHX15",NA,"ILF3","PLK2",NA,NA,NA,"GSTM5","DDX39A","WFIKKN1"
"1485",NA,NA,"IFNAR2",NA,"KIR2DL3","TAF9","MRPL38",NA,"CYP2A6","CORO1B",NA,"HN1L","DDB1",NA,"NPDC1",NA,"ACAT2",NA,"IMPDH1","BTN3A2",NA,"NDUFAF1",NA,"ADCY7","SIGMAR1","MAK16","TLN1","EFHD2",NA,NA,"DPCD",NA,"LRP10","CNKSR3",NA,NA,NA,"RAB11B","DGKD","ATP8B2"
"1486",NA,NA,"SGSH",NA,"MZT1","TRAM1","S100P",NA,"STC1","CTSS",NA,"HYAL1","ELOVL5",NA,"PRKD1",NA,"B3GNT5",NA,"RUNX2","FBLL1",NA,"NFIL3",NA,"ASAP1","SCYL1","ABR","VEGFA","ELOVL3",NA,NA,"DTX3L",NA,"NDUFA3","LRP1",NA,NA,NA,"SRD5A1","FBLN7","FGF6"
"1487",NA,NA,"DDOST",NA,"SGSM2","GADD45A","DDX60",NA,"CNTD2","FOLR2",NA,"NEU1","ENTPD5",NA,"ZNF414",NA,"CYP2S1",NA,"SUB1","PRMT6",NA,"CD300LB",NA,"C9ORF64","APOE","CHN2","DGUOK","LRPAP1",NA,NA,"FAM101B",NA,"PPM1G","LRRC43",NA,NA,NA,"TUBA1C","GDF2","HAAO"
"1488",NA,NA,"DDX1",NA,"CST7","GLUD2","HAUS4",NA,"DNAAF2","PAFAH1B3",NA,"PCOLCE","GCAT",NA,"CARD6",NA,"FLI1",NA,"ARL6IP5","PRSS16",NA,"MRPL24",NA,"FAHD1","DGKZ","FKBP5","MAN2B2","SLC36A4",NA,NA,"ID1",NA,"RFK","TMCO3",NA,NA,NA,"ACOX2","KRBA1","MAP1S"
"1489",NA,NA,"GM2A",NA,"ECH1","IGIP","METTL5",NA,"ID2","TCF7L2",NA,"CD55","MORF4L2",NA,"COPS8",NA,"FTH1",NA,"MATK","EID1",NA,"ADRM1",NA,"MZT2A","FKBP1B","FXYD5","TOM1L1","C4ORF48",NA,NA,"XRCC2",NA,"G6PD","APOA5",NA,NA,NA,"IL17D","PRNP","ARF4"
"1490",NA,NA,"GUSB",NA,"EFR3A","LMAN1","NARS2",NA,"NQO2","APOA4",NA,"DST","SSSCA1",NA,"HMMR",NA,"PTOV1",NA,"MRPL51","NAT1",NA,"ARNTL",NA,"TSEN2","GALNT7","IL4R","C1ORF122","CCND3",NA,NA,"CYTL1",NA,"GNRH1","DNAJB14",NA,NA,NA,"MACF1","ZNF212","AURKA"
"1491",NA,NA,"SLC25A32",NA,"ELOVL5","PKNOX2","NDUFV1",NA,"PAPD7","CBR3",NA,"EIF4E","VPS26A",NA,"PIR",NA,"PWWP2B",NA,"MYO9B","PLEKHH1",NA,"C15ORF52",NA,"BSPRY","PCIF1","MRPL24","ELN","LPGAT1",NA,NA,"KLF10",NA,"NAP1L2","HLA-F-AS1",NA,NA,NA,"PKIA","FAS","CD4"
"1492",NA,NA,"ACTG1",NA,"MAN1A1","PTTG1IP","ZMYND8",NA,"PNP","ICA1",NA,"FAM107B","ZNF83",NA,"SCUBE2",NA,"RING1",NA,"SRRM1","SWAP70",NA,"SLC39A1",NA,"CHST14",NA,"PFDN2","F3","NCK2",NA,NA,"NOS2",NA,"NDUFA5","KLC1",NA,NA,NA,"AARS","GNL3","ERH"
"1493",NA,NA,"DEF6",NA,"METTL17","SP140L","BCR",NA,"PKN3","ME3",NA,"TMED2","ACAT1",NA,"CDCA2",NA,"VMP1",NA,"TOMM5","TUBG1",NA,"TRIP4",NA,"ENOPH1",NA,"RPL31","FLRT3","PAM",NA,NA,"MMADHC",NA,"TTC13","LDB2",NA,NA,NA,"DENND2A","GPR89B","IQGAP1"
"1494",NA,NA,"LACTB2",NA,"SWAP70","VIT","CDK2AP2",NA,"ARSE","PTPN12",NA,"CYFIP1","ATP6V1F",NA,"EVL",NA,"ATG4C",NA,"AHCY","ADA",NA,"HSPA1B",NA,"FAM69B",NA,"UBTD2","PARPBP","PSRC1",NA,NA,"NLGN4X",NA,"QDPR","RNF128",NA,NA,NA,"F2RL1","ZNF12","NPPA"
"1495",NA,NA,"MGEA5",NA,"AK2","FARSB","NDUFA1",NA,"PSMB5","RGS2",NA,"DHX9","WSB2",NA,"PFKP",NA,"BAG2",NA,"CIITA","ARPC1A",NA,"IFI44",NA,"PTRHD1",NA,"FRAT2","PGRMC1","SEMA6C",NA,NA,"RPP25",NA,"CENPV","ENDOD1",NA,NA,NA,"MFSD1","ANKRD10","REEP5"
"1496",NA,NA,"NINJ2",NA,"HARS","PDRG1","RADIL",NA,"VBP1","TRA2A",NA,"HIST1H3I","IAH1",NA,"VEGFC",NA,"C10ORF128",NA,"SPATA20","NEAT1",NA,"LAPTM4A",NA,"TNFRSF21",NA,"PMVK","DAPK3","SF3B5",NA,NA,"SULT4A1",NA,"FOXP1","EPB41L2",NA,NA,NA,"NDUFB6","PIP4K2C","CCR5"
"1497",NA,NA,"SF3A2",NA,"IMPA2","PNCK","RNF169",NA,"COL4A6","APBB2",NA,"PFKFB3","MKKS",NA,"ALDH3B1",NA,"MAP2K1",NA,"YIPF3","RBPJ",NA,"LDLRAP1",NA,"CHST12",NA,"MICAL1","DUSP5","IVNS1ABP",NA,NA,"CD46",NA,"HSPA13","NDUFA13",NA,NA,NA,"PDAP1","ALG5","HTR3C"
"1498",NA,NA,"TOMM34",NA,"PPIL1","PYCARD","SVIL",NA,"DNAJC9","CDCA3",NA,"RGS10","PLB1",NA,"DEPDC1",NA,"MLEC",NA,"ZC3H8","TPSG1",NA,"PLD2",NA,"PAAF1",NA,"MSL2","KLC1","PKD2L1",NA,NA,"HRAS",NA,"EEF1E1","PANK1",NA,NA,NA,"SLC38A1","SON","PFKM"
"1499",NA,NA,"TRAP1",NA,"CD320","MTCH1","C17ORF99",NA,"LGR4","FAM50A",NA,"ROBO1","SCOC",NA,"GADD45B",NA,"MRPL54",NA,"CTSZ","CTSD",NA,"PSMC4",NA,"STAMBPL1",NA,"MYCBP2","LASP1","PRADC1",NA,NA,"TICAM1",NA,"PIK3C2A","PFKFB3",NA,NA,NA,"SYTL3","SVIL","RNF20"
"1500",NA,NA,"GATSL2",NA,"EIF3I","PRKD1","COTL1",NA,"NOTUM","OCA2",NA,"FAM160A1","C12ORF29",NA,"GLDN",NA,"RPL39L",NA,"MAN1A1","ELAVL2",NA,"TRIM14",NA,"MBD5",NA,"AGRN","ZNF575","SNRPD2",NA,NA,"LYPLA1",NA,"TPRKB","PSMG1",NA,NA,NA,"TSPYL2","GLRX5","RPS21"
"1501",NA,NA,"INTS5",NA,"LRIF1","ACO1","SNRNP25",NA,"PHYH","PTGER4",NA,"HIST1H2BK","DPAGT1",NA,"PGM1",NA,"FAM136A",NA,"MRPS2","MARVELD3",NA,"ADAM28",NA,"MECOM",NA,"CD84","CDCA4","TCTA",NA,NA,"NPPA",NA,"VANGL1","TMX3",NA,NA,NA,"CD109","PIEZO1","STAG2"
"1502",NA,NA,"SLC25A5",NA,"MFAP1","BARX1","TIMP1",NA,"UPF2","TRIP10",NA,"HTRA3","GOT1",NA,"SPATA20",NA,"LMNB2",NA,"BIRC5","CHST7",NA,"B3GNT5",NA,"MKI67",NA,"SLC22A4","CRNDE","VPS54",NA,NA,"RFC4",NA,"MZT2B","CARTPT",NA,NA,NA,"CYB5A","PRSS3","TRAM2"
"1503",NA,NA,"TBC1D4",NA,"SRSF2","GRPR","ACCS",NA,"YWHAG","GPX4",NA,"SCRIB","HMGB3",NA,"ALDH1A3",NA,"NDUFB10",NA,"LZTFL1","FOSL1",NA,"FASTKD1",NA,"NOA1",NA,"TRIT1","OSTC","METTL21A",NA,NA,"NFIL3",NA,"SLFN12","VPS4B",NA,NA,NA,"FBN2","SRSF2","FERMT3"
"1504",NA,NA,"ZNF573",NA,"ACTL8","PPFIBP2","DAPK1",NA,"CDCA3","MRPL36",NA,"TSC22D1","LTF",NA,"CENPW",NA,"PARP1",NA,"MS4A7","IREB2",NA,"PPFIBP2",NA,"SLC25A43",NA,"ATP5G3","PSMB3","VHL",NA,NA,"SNHG8",NA,"DNAJC30","AKTIP",NA,NA,NA,"IL1A","UTP6","GNPNAT1"
"1505",NA,NA,"ARVCF",NA,"MIS18BP1","PTOV1","MGRN1",NA,"MCM4","NEU1",NA,"ZDHHC20","PAAF1",NA,"CSMD2",NA,"SNX30",NA,"CASP10","MFAP1",NA,"PTRH2",NA,"UPF2",NA,"CCL5","STAG3L4","CDC6",NA,NA,"C3AR1",NA,"EPSTI1","CDC23",NA,NA,NA,"RABAC1","ITGAE","MYO1C"
"1506",NA,NA,"C19ORF53",NA,"MRPL51","SPIN1","MRPS36",NA,"RNF219","YWHAE",NA,"ZFP36","PRPH",NA,"DOCK7",NA,"TOMM5",NA,"CSNK2B","NEFL",NA,"ASPSCR1",NA,"CALM1",NA,"FXYD6","C1ORF186","DENND2D",NA,NA,"CELF3",NA,"FEM1C","KEL",NA,NA,NA,"SMO","PARVG","NDUFB10"
"1507",NA,NA,"CD1A",NA,"MYO1C","TMCO3","NFKBIA",NA,"ALDH18A1","ASH2L",NA,"FAM64A","EIF5",NA,"HSPA5",NA,"B4GALT5",NA,"HDAC5","TMEM160",NA,"CST7",NA,"SGSM2",NA,"ITGAE","ELL2","DNTTIP1",NA,NA,"DDX39A",NA,"FKBP2","LASP1",NA,NA,NA,"CFD","PTGER1","PLD3"
"1508",NA,NA,"ERP29",NA,"POP1","TP53TG1","CCDC15",NA,"ALG13","GPHA2",NA,"GPR143","RING1",NA,"SMAD3",NA,"COPG1",NA,"MRPL16","AIMP2",NA,"NFE2L1",NA,"WDR43",NA,"MBD6","RALGAPA1","EPHX1",NA,NA,"FBXL2",NA,"FMNL3","TSKU",NA,NA,NA,"CHCHD1","SLC16A10","SLC39A6"
"1509",NA,NA,"MTF2",NA,"PSMD8","AVPI1","CDC37",NA,"FMR1","HOXB5",NA,"NIPSNAP1","TADA2B",NA,"SYVN1",NA,"LINC00116",NA,"NDRG2","ANKS1A",NA,"SEC11C",NA,"ACOT7",NA,"TUBA1A","SPIN1","IFITM1",NA,NA,"PHACTR2",NA,"GFPT1","DZIP1",NA,NA,NA,"HPRT1","SNX9","AP2A1"
"1510",NA,NA,"FGD3",NA,"UNC119B","NAV1","HYI",NA,"SH3BGRL","IFNAR2",NA,"RASD1","TRAP1",NA,"RHEB",NA,"PAM",NA,"TK1","CHSY1",NA,"SLCO2B1",NA,"CEP135",NA,"CLCN6","TBC1D7","UHRF1BP1",NA,NA,"SLC20A1",NA,"HSH2D","GPC1",NA,NA,NA,"KCNJ12","SYNE1","HMGB3"
"1511",NA,NA,"IL34",NA,"BBS12","SLC39A13","PRMT5",NA,"TFAP2C","TMCO3",NA,"SLC9A3R2","ZNF100",NA,"RPL8",NA,"RUVBL1",NA,"KIF23","LRRC43",NA,"TIMP3",NA,"PPTC7",NA,"GNLY","CD109","RPL5",NA,NA,"TAF9",NA,"UBE2F","HOMER1",NA,NA,NA,"PHF13","THEM4","PCBP1"
"1512",NA,NA,"KCTD17",NA,"GRINA","TSPAN3","TM4SF1",NA,"USF2","WRAP53",NA,"HOXA5","CTRB2",NA,"SEMA3A",NA,"SRSF2",NA,"SIVA1","PCYOX1",NA,"IL34",NA,"SNX9",NA,"NFKB2","GINS4","SYNE1",NA,NA,"BCL10",NA,"UNG","JAG1",NA,NA,NA,"TCP1","MTHFD1","SH3KBP1"
"1513",NA,NA,"CHCHD2",NA,"PHF1","EEF1D","AGPAT5",NA,"ELOVL4","CEND1",NA,"MFAP2","FANCG",NA,"SH3BP4",NA,"TBXAS1",NA,"TMEM220","TBCK",NA,"NAF1",NA,"TUBA1A",NA,"RELB","PDLIM4","TAF6",NA,NA,"ERN2",NA,"HELB","MESP2",NA,NA,NA,"CCNA1","STAM","TSPYL2"
"1514",NA,NA,"NDUFS4",NA,"RNF123","EHD3","CD164",NA,"GDAP1","FAM129B",NA,"SAMD9L","FDPS",NA,"SLC38A5",NA,"TGIF2",NA,"EXTL2","BCL10",NA,"PLXNA1",NA,"ANKRD10",NA,"TUBA1C","SH3GLB1","COX5B",NA,NA,"INTS2",NA,"HIPK4","NR1D2",NA,NA,NA,"CHSY1","COX6C","TUBA4A"
"1515",NA,NA,"RELL2",NA,"RNF135","FBXO30","INTS5",NA,"HYOU1","HJURP",NA,"SEMA3G","FN3KRP",NA,"SMPD1",NA,"CXORF57",NA,"KIAA0141","EIF1AX",NA,"PON2",NA,"ARL8A",NA,"C2ORF68","TMEM192","TACC3",NA,NA,"TSEN34",NA,"JUNB","STK38L",NA,NA,NA,"F2RL2","NAA16","ATP1B3"
"1516",NA,NA,"USP22",NA,"STRA13","HNRNPUL2","RASAL3",NA,"LAMC3","MAD2L2",NA,"NEDD4L","SRGAP2",NA,"DES",NA,"OSBPL3",NA,"MVP","FAM124A",NA,"RAB11FIP1",NA,"FAM102B",NA,"DOCK5","TOMM20","ISG20",NA,NA,"C17ORF96",NA,"MRPL38","CRYZ",NA,NA,NA,"PGM1","NDUFAB1","MRPL21"
"1517",NA,NA,"ZNF783",NA,"TDRG1","ICAM3","ANKRD10",NA,"CLIC4","MARK4",NA,"PDIA4","TTC25",NA,"IRAK3",NA,"CHSY1",NA,"PRPF4B","FAM189B",NA,"TMC6",NA,"FAM21A",NA,"GRK5","BRCC3","PABPC1L",NA,NA,"DNAJB2",NA,"SPRED3","PCOLCE",NA,NA,NA,"PKD1","PPT2","RNF11"
"1518",NA,NA,"AMFR",NA,"FANCL","RPPH1","CTSC",NA,"FAM102B","PRKX",NA,"SNRPD1","CHIC2",NA,"NFIC",NA,"KIAA0226L",NA,"SRSF10","POLR3D",NA,"UBA2",NA,"NBR2",NA,"PRPF8","PSMD3","SPRYD4",NA,NA,"RABAC1",NA,"SUSD1","ZNF703",NA,NA,NA,"ADCY4","TBX21","SELPLG"
"1519",NA,NA,"DLL4",NA,"WDR77","EEF1A1","FGD3",NA,"KIF20B","RPL22L1",NA,"TYMS","DDHD2",NA,"PDIA4",NA,"PPIH",NA,"ZNF33A","TCF4",NA,"ALDH3B1",NA,"NUDT9",NA,"TSKU","ASH2L","TRPM2",NA,NA,"VEZT",NA,"PF4","C10ORF11",NA,NA,NA,"MTA2","CD300A","SEPT11"
"1520",NA,NA,"NDUFB10",NA,"YTHDF1","GLIS3","NDUFB10",NA,"ZNF367","ZMAT3",NA,"HIST1H2BE","E2F4",NA,"PEG10",NA,"SEL1L3",NA,"B3GNTL1","ARID3A",NA,"C1ORF228",NA,"PSMD8",NA,"DAP","FOSL2","ATP5G3",NA,NA,"SLC6A7",NA,"PTER","FLRT3",NA,NA,NA,"SNED1","FAM96B","TNC"
"1521",NA,NA,"PAN3",NA,"ABCF1","LYL1","PRMT6",NA,"NDUFS4","ABCB10",NA,"INO80E","RBM10",NA,"PTPRF",NA,"CD109",NA,"BCCIP","CLYBL",NA,"ELL2",NA,"ZNF232",NA,"HOXB2","ITM2C","C19ORF43",NA,NA,"MPHOSPH10",NA,"TGFB1","GLUD2",NA,NA,NA,"SNRPB","HECTD3","C1ORF122"
"1522",NA,NA,"PQLC1",NA,"APOBEC3G","MFAP1","PWWP2B",NA,"OXCT1","PARP14",NA,"PVR","ZNF584",NA,"RPL4",NA,"NDUFA8",NA,"C11ORF71","FBXO21",NA,"FBXO30",NA,"CARM1",NA,"LBR","NDFIP2","CFLAR",NA,NA,"PET117",NA,"CHST2","IFT20",NA,NA,NA,"NDP","IDS","CHPT1"
"1523",NA,NA,"REC8",NA,"C10ORF2","QSOX1","RAPGEF2",NA,"TMEM223","PSMC4",NA,"SLC44A3","APLNR",NA,"EPHA3",NA,"PHACTR4",NA,"MRPL42","HSD17B11",NA,"MX1",NA,"DIS3L",NA,"CFLAR","NDUFB6","FAS",NA,NA,"TMPO",NA,"GPR171","TRIB3",NA,NA,NA,"PNMA2","LPIN2","APOA5"
